Crop Production Statistics,,,,,
,,,,,
State/Crop/District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
Karnataka,,,,,
Arecanut,,,,,
 1.BELLARY, 1997-98,Whole Year ,64,92,1.4375
, 1998-99,Whole Year ,6,40,6.66666666666667
, 2000-01,Whole Year ,19,27,1.42105263157895
, 2001-02,Whole Year ,26,37,1.42307692307692
, 2003-04,Whole Year ,30,43,1.43333333333333
, 2004-05,Whole Year ,32,46,1.4375
, 2005-06,Whole Year ,58,389,6.70689655172414
, 2006-07,Whole Year ,62,89,1.43548387096774
, 2007-08,Whole Year ,62,416,6.70967741935484
, 2008-09,Whole Year ,62,416,6.70967741935484
, 2009-10,Whole Year ,74,496,6.7027027027027
, 2010-11,Whole Year ,103,1114,10.8155339805825
, 2011-12,Whole Year ,108,875,8.10185185185185
, 2012-13,Whole Year ,132,1059,8.02272727272727
, 2013-14,Whole Year ,10,111,11.1
, 2014-15,Whole Year ,1,9,9
, 2016-17,Whole Year ,11,112,10.1818181818182
, 2017-18,Whole Year ,14,152,10.8571428571429
, 2018-19,Whole Year ,1558,13911,8.92875481386393
Total - Arecanut,,,2432,19434,7.99095394736842
Arhar/Tur,,,,,
 1.BELLARY, 1997-98,Kharif     ,10477,3324,0.317266393051446
, 1998-99,Kharif     ,7563,2234,0.295385429062541
, 1999-00,Kharif     ,8551,3396,0.39714653256929
, 2000-01,Kharif     ,9645,3958,0.410368066355625
, 2001-02,Kharif     ,5944,2451,0.412348586810229
, 2002-03,Kharif     ,7906,2704,0.342018719959524
, 2003-04,Kharif     ,5526,1774,0.321027868259139
, 2004-05,Kharif     ,8889,4982,0.560467994150073
, 2005-06,Kharif     ,10655,5628,0.528202721726889
, 2006-07,Kharif     ,9353,4363,0.466481342884636
, 2007-08,Kharif     ,9917,5398,0.544317838055864
, 2008-09,Kharif     ,9640,4854,0.503526970954357
, 2009-10,Kharif     ,8938,3303,0.36954575967778
, 2010-11,Kharif     ,10544,4367,0.414169195751138
, 2011-12,Kharif     ,9066,2989,0.329693359805868
, 2012-13,Kharif     ,5127,1802,0.351472596060074
, 2013-14,Kharif     ,3325,1614,0.485413533834586
, 2014-15,Kharif     ,3427,1319,0.384884738838634
, 2015-16,Kharif     ,2931,1041,0.355168884339816
, 2016-17,Kharif     ,11946,7036,0.588983760254479
, 2017-18,Kharif     ,9363,7694,0.821745167147282
, 2018-19,Kharif     ,13708,9168,0.668806536329151
Total - Arhar/Tur,,,182441,85399,0.4680910540942
Bajra,,,,,
 1.BELLARY, 1997-98,Kharif     ,14047,7221,0.514059941624546
,,Summer     ,820,662,0.807317073170732
,,Total,14867,7883,0.530234748099818
, 1998-99,Kharif     ,25918,24114,0.930395863878386
,,Rabi       ,451,536,1.18847006651885
,,Summer     ,846,498,0.588652482269503
,,Total,27215,25148,0.92404923755282
, 1999-00,Kharif     ,21565,13334,0.618316716902388
, 2000-01,Kharif     ,25729,21054,0.818298418127405
,,Rabi       ,160,129,0.80625
,,Summer     ,905,989,1.09281767955801
,,Total,26794,22172,0.827498693737404
, 2001-02,Kharif     ,16332,12464,0.763164339946118
,,Rabi       ,207,105,0.507246376811594
,,Summer     ,850,929,1.09294117647059
,,Total,17389,13498,0.776237851515326
, 2002-03,Kharif     ,13560,6488,0.478466076696165
,,Rabi       ,271,215,0.793357933579336
,,Summer     ,377,322,0.854111405835544
,,Total,14208,7025,0.494439752252252
, 2003-04,Kharif     ,25949,17480,0.673629041581564
,,Rabi       ,117,105,0.897435897435897
,,Summer     ,277,250,0.902527075812274
,,Total,26343,17835,0.677029951030634
, 2004-05,Kharif     ,17021,12115,0.711767816227014
,,Rabi       ,222,200,0.900900900900901
,,Summer     ,1327,1072,0.80783722682743
,,Total,18570,13387,0.720893914916532
, 2005-06,Kharif     ,20594,16424,0.797513838982228
,,Rabi       ,78,104,1.33333333333333
,,Summer     ,913,1084,1.18729463307777
,,Total,21585,17612,0.815936993282372
, 2006-07,Kharif     ,15831,7505,0.474069862927168
,,Rabi       ,25,28,1.12
,,Summer     ,1166,1385,1.18782161234991
,,Total,17022,8918,0.523910233815063
, 2007-08,Kharif     ,15855,13500,0.851466414380322
,,Rabi       ,435,504,1.15862068965517
,,Summer     ,1574,1570,0.997458703939009
,,Total,17864,15574,0.871809225257501
, 2008-09,Kharif     ,12052,7336,0.608695652173913
,,Rabi       ,354,331,0.935028248587571
,,Summer     ,994,1180,1.18712273641851
,,Total,13400,8847,0.660223880597015
, 2009-10,Kharif     ,13586,8249,0.607169144707787
,,Rabi       ,116,132,1.13793103448276
,,Summer     ,381,428,1.12335958005249
,,Total,14083,8809,0.625505929134417
, 2010-11,Kharif     ,13457,11295,0.839340120383443
,,Rabi       ,84,86,1.02380952380952
,,Summer     ,358,395,1.10335195530726
,,Total,13899,11776,0.847255198215699
, 2011-12,Kharif     ,14124,9253,0.655126026621354
,,Rabi       ,522,680,1.30268199233716
,,Summer     ,1702,1937,1.13807285546416
,,Total,16348,11870,0.726082701247859
, 2012-13,Kharif     ,20897,16954,0.811312628606977
, 2013-14,Kharif     ,17017,17201,1.01081271669507
, 2014-15,Kharif     ,15570,16700,1.07257546563905
, 2015-16,Kharif     ,13136,12067,0.918620584652862
,,Summer     ,1022,1290,1.26223091976517
,,Total,14158,13357,0.943424212459387
, 2016-17,Kharif     ,15771,19837,1.25781497685626
,,Summer     ,274,339,1.23722627737226
,,Total,16045,20176,1.25746338423185
, 2017-18,Kharif     ,24180,44587,1.84396195202647
,,Summer     ,290,362,1.24827586206897
,,Total,24470,44949,1.83690232938292
, 2018-19,Kharif     ,15137,17256,1.13998810860805
,,Summer     ,395,493,1.24810126582278
,,Total,15532,17749,1.14273757404069
Total - Bajra,,,404841,350774,0.866448803357367
Banana,,,,,
 1.BELLARY, 1999-00,Whole Year ,1756,48344,27.5307517084282
, 2000-01,Whole Year ,1780,33816,18.9977528089888
, 2002-03,Whole Year ,2087,51609,24.7287973167226
, 2003-04,Whole Year ,2483,47400,19.0898107128474
, 2004-05,Whole Year ,3255,89106,27.3751152073733
, 2005-06,Whole Year ,14,607,43.3571428571429
, 2006-07,Whole Year ,2295,25435,11.082788671024
, 2007-08,Whole Year ,1189,21821,18.3523969722456
, 2008-09,Whole Year ,1539,49871,32.404808317089
, 2009-10,Whole Year ,1532,56569,36.9249347258486
, 2010-11,Whole Year ,1624,62633,38.567118226601
, 2011-12,Whole Year ,1649,67189,40.7453001819284
Total - Banana,,,21203,554400,26.1472433146253
Cashewnut,,,,,
 1.BELLARY, 2014-15,Whole Year ,115,85,0.739130434782609
, 2015-16,Whole Year ,11,7,0.636363636363636
, 2017-18,Whole Year ,12,9,0.75
, 2018-19,Whole Year ,7,8,1.14285714285714
Total - Cashewnut,,,145,109,0.751724137931034
Castor seed,,,,,
 1.BELLARY, 1998-99,Kharif     ,508,433,0.852362204724409
, 1999-00,Kharif     ,610,471,0.772131147540984
, 2000-01,Kharif     ,795,1018,1.28050314465409
, 2001-02,Kharif     ,620,459,0.740322580645161
, 2002-03,Kharif     ,326,301,0.923312883435583
, 2003-04,Kharif     ,166,149,0.897590361445783
, 2004-05,Kharif     ,209,181,0.866028708133971
, 2005-06,Kharif     ,225,234,1.04
, 2006-07,Kharif     ,185,148,0.8
, 2007-08,Kharif     ,184,123,0.668478260869565
, 2008-09,Kharif     ,118,112,0.949152542372881
, 2009-10,Kharif     ,122,79,0.647540983606557
, 2010-11,Kharif     ,145,121,0.83448275862069
, 2011-12,Kharif     ,265,222,0.837735849056604
, 2012-13,Kharif     ,508,317,0.624015748031496
, 2013-14,Kharif     ,486,435,0.895061728395062
, 2014-15,Kharif     ,64,39,0.609375
, 2015-16,Kharif     ,27,14,0.518518518518518
, 2016-17,Kharif     ,162,80,0.493827160493827
, 2017-18,Kharif     ,60,39,0.65
, 2018-19,Kharif     ,75,43,0.573333333333333
Total - Castor seed,,,5860,5018,0.856313993174061
Coconut ,,,,Nuts*,Nuts/Hectare
 1.BELLARY, 1998-99,Whole Year ,1174,5606000,4775.12776831346
, 1999-00,Whole Year ,1173,5601000,4774.93606138107
, 2000-01,Whole Year ,1267,6050000,4775.0591949487
, 2001-02,Whole Year ,1264,6035000,4774.5253164557
, 2002-03,Whole Year ,1565,7473000,4775.07987220447
, 2003-04,Whole Year ,1312,6264000,4774.39024390244
, 2004-05,Whole Year ,1259,6011000,4774.42414614774
, 2005-06,Whole Year ,1140,5443000,4774.56140350877
, 2006-07,Whole Year ,1251,5973000,4774.58033573142
, 2007-08,Whole Year ,1310,6670000,5091.60305343512
, 2008-09,Whole Year ,1080,7399000,6850.92592592593
, 2009-10,Whole Year ,1039,7387000,7109.7208854668
, 2010-11,Whole Year ,1014,9693000,9559.17159763314
, 2011-12,Whole Year ,910,9047000,9941.75824175824
, 2012-13,Whole Year ,702,6912000,9846.15384615385
, 2013-14,Whole Year ,2901,23016000,7933.81592554292
, 2014-15,Whole Year ,555,4953000,8924.32432432432
, 2015-16,Whole Year ,523,4374000,8363.28871892925
, 2016-17,Whole Year ,674,5269000,7817.50741839763
, 2017-18,Whole Year ,579,4578000,7906.73575129534
, 2018-19,Whole Year ,1220,8641000,7082.7868852459
Total - Coconut ,,,23912,152395000,6373.15991970559
Coriander,,,,,
 1.BELLARY, 1997-98,Whole Year ,10736,2168,0.20193740685544
, 1998-99,Whole Year ,11095,2241,0.201982875168995
, 1999-00,Whole Year ,5948,1201,0.20191661062542
, 2000-01,Whole Year ,4148,838,0.202025072324012
, 2001-02,Whole Year ,6420,1297,0.20202492211838
, 2002-03,Whole Year ,2908,587,0.201856946354883
, 2003-04,Whole Year ,3503,707,0.201827005423922
, 2004-05,Whole Year ,4327,874,0.201987520221863
, 2005-06,Whole Year ,3809,769,0.201890259910738
, 2006-07,Whole Year ,2602,525,0.201767870868563
, 2007-08,Whole Year ,3281,1241,0.378238341968912
, 2008-09,Whole Year ,3755,2015,0.536617842876165
, 2009-10,Whole Year ,3354,1551,0.462432915921288
, 2010-11,Whole Year ,2084,677,0.324856046065259
, 2011-12,Whole Year ,597,242,0.40536013400335
, 2012-13,Whole Year ,2831,1118,0.394913458141999
, 2013-14,Whole Year ,838,260,0.310262529832936
, 2014-15,Whole Year ,1241,420,0.338436744560838
, 2015-16,Whole Year ,2093,897,0.428571428571429
, 2016-17,Whole Year ,232,101,0.435344827586207
, 2017-18,Whole Year ,23,8,0.347826086956522
, 2018-19,Whole Year ,315,282,0.895238095238095
Total - Coriander,,,76140,20019,0.262923561859732
Cotton(lint),,,,Bales*,Bales/Hectare
 1.BELLARY, 1998-99,Kharif     ,66412,85696,1.29036921038367
, 1999-00,Kharif     ,55563,55883,1.00575922826341
, 2000-01,Kharif     ,52037,68670,1.31963794992025
, 2001-02,Kharif     ,51505,69414,1.3477138141928
, 2002-03,Kharif     ,35188,38941,1.10665567807207
, 2003-04,Kharif     ,26088,21825,0.836591536338546
, 2004-05,Kharif     ,42373,48777,1.15113397682487
, 2005-06,Whole Year ,26690,35262,1.321168977145
, 2006-07,Whole Year ,19167,28963,1.51108676370846
, 2007-08,Whole Year ,26604,48546,1.82476319350474
, 2008-09,Whole Year ,19627,36344,1.85173485504662
, 2009-10,Whole Year ,25269,47008,1.86030313823262
, 2010-11,Kharif     ,37118,100359,2.70378253138639
,,Rabi       ,7774,20933,2.69269359403139
,,Total,44892,121292,2.70186224717099
, 2011-12,Kharif     ,37717,80774,2.14158071956942
,,Rabi       ,4654,7285,1.56532015470563
,,Total,42371,88059,2.07828467583961
, 2012-13,Kharif     ,62710,171708,2.73812789028863
,,Rabi       ,1869,2026,1.08400214018192
,,Summer     ,922,2555,2.77114967462039
,,Total,65501,176289,2.69139402451871
, 2013-14,Kharif     ,72108,184949,2.56488877794419
,,Rabi       ,1096,2021,1.84397810218978
,,Summer     ,1095,3947,3.60456621004566
,,Total,74299,190917,2.56957697950174
, 2014-15,Kharif     ,78646,242150,3.07898685247819
,,Rabi       ,2687,4369,1.62597692593971
,,Summer     ,1010,1913,1.89405940594059
,,Total,82343,248432,3.01703848536002
, 2015-16,Kharif     ,65890,142491,2.16255881013811
,,Rabi       ,1171,2716,2.31938514090521
,,Summer     ,989,2095,2.11830131445905
,,Total,68050,147302,2.16461425422483
, 2016-17,Kharif     ,48032,133665,2.78283227848101
,,Rabi       ,28,9,0.321428571428571
,,Total,48060,133674,2.78139825218477
, 2017-18,Kharif     ,58997,198794,3.36956116412699
,,Rabi       ,164,124,0.75609756097561
,,Total,59161,198918,3.3623163908656
, 2018-19,Kharif     ,45465,119916,2.63754536456615
,,Rabi       ,155,74,0.47741935483871
,,Total,45620,119990,2.63020604997808
Total - Cotton(lint),,,976820,2010202,2.05790421981532
Cowpea(Lobia),,,,,
 1.BELLARY, 2010-11,Kharif     ,362,187,0.516574585635359
,,Rabi       ,1821,481,0.264140582097748
,,Total,2183,668,0.306000916170408
, 2011-12,Kharif     ,518,274,0.528957528957529
,,Rabi       ,1243,333,0.267900241351569
,,Total,1761,607,0.344690516751846
, 2012-13,Kharif     ,572,156,0.272727272727273
,,Rabi       ,615,205,0.333333333333333
,,Summer     ,772,181,0.234455958549223
,,Total,1959,542,0.276671771311894
, 2013-14,Kharif     ,226,84,0.371681415929204
,,Rabi       ,245,104,0.424489795918367
,,Summer     ,768,482,0.627604166666667
,,Total,1239,670,0.540758676351897
, 2014-15,Kharif     ,284,125,0.440140845070423
,,Rabi       ,929,341,0.367061356297094
,,Summer     ,834,352,0.422062350119904
,,Total,2047,818,0.399609184171959
, 2015-16,Kharif     ,484,200,0.413223140495868
,,Rabi       ,913,405,0.443592552026287
,,Summer     ,2220,742,0.334234234234234
,,Total,3617,1347,0.372408072988665
, 2016-17,Kharif     ,169,129,0.763313609467456
,,Rabi       ,496,12,0.0241935483870968
,,Summer     ,538,148,0.275092936802974
,,Total,1203,289,0.240232751454697
, 2017-18,Kharif     ,391,89,0.227621483375959
,,Rabi       ,491,199,0.405295315682281
,,Summer     ,790,314,0.39746835443038
,,Total,1672,602,0.360047846889952
, 2018-19,Kharif     ,764,289,0.378272251308901
,,Rabi       ,545,153,0.280733944954128
,,Summer     ,896,117,0.130580357142857
,,Total,2205,559,0.253514739229025
Total - Cowpea(Lobia),,,17886,6102,0.341160684334116
Dry chillies,,,,,
 1.BELLARY, 1997-98,Kharif     ,12763,11640,0.912011282613805
,,Rabi       ,198,635,3.20707070707071
,,Total,12961,12275,0.947071985186328
, 1998-99,Whole Year ,11574,25136,2.17176429929152
, 1999-00,Whole Year ,14920,26749,1.79282841823056
, 2000-01,Whole Year ,8678,14402,1.65959898594146
, 2001-02,Whole Year ,16144,15620,0.967542120911794
, 2002-03,Whole Year ,12144,28953,2.38414031620553
, 2003-04,Whole Year ,648,2101,3.24228395061728
, 2004-05,Whole Year ,10673,10299,0.964958306005809
, 2005-06,Kharif     ,9961,15021,1.50798112639293
,,Rabi       ,172,207,1.20348837209302
,,Summer     ,63,166,2.63492063492063
,,Total,10196,15394,1.50980776775206
, 2006-07,Whole Year ,12714,19139,1.50534843479629
, 2007-08,Kharif     ,14153,23489,1.65964813113827
,,Rabi       ,28,49,1.75
,,Summer     ,45,152,3.37777777777778
,,Total,14226,23690,1.66526079010263
, 2008-09,Kharif     ,13202,15013,1.13717618542645
,,Rabi       ,38,64,1.68421052631579
,,Summer     ,34,112,3.29411764705882
,,Total,13274,15189,1.14426698809703
, 2009-10,Rabi       ,19,57,3
,,Summer     ,27,124,4.59259259259259
,,Total,46,181,3.93478260869565
, 2010-11,Kharif     ,10387,11259,1.08395109271204
,,Rabi       ,12,33,2.75
,,Summer     ,52,158,3.03846153846154
,,Total,10451,11450,1.09558893885753
, 2011-12,Kharif     ,11851,14174,1.19601721373724
,,Rabi       ,946,2231,2.35835095137421
,,Summer     ,523,1831,3.50095602294455
,,Total,13320,18236,1.36906906906907
, 2012-13,Kharif     ,11545,12130,1.05067128627111
,,Rabi       ,406,1109,2.73152709359606
,,Summer     ,91,108,1.18681318681319
,,Total,12042,13347,1.10837070254111
, 2013-14,Kharif     ,12197,15457,1.26727883905879
,,Rabi       ,79,150,1.89873417721519
,,Summer     ,351,933,2.65811965811966
,,Total,12627,16540,1.30989150233626
, 2014-15,Kharif     ,11522,14678,1.27391077937858
,,Rabi       ,664,1246,1.87650602409639
,,Summer     ,228,439,1.92543859649123
,,Total,12414,16363,1.3181085870791
, 2015-16,Kharif     ,18763,28591,1.52379683419496
,,Rabi       ,947,1323,1.39704329461457
,,Summer     ,464,850,1.83189655172414
,,Total,20174,30764,1.52493308218499
, 2016-17,Kharif     ,35213,153045,4.34626416380314
,,Rabi       ,57,110,1.92982456140351
,,Summer     ,41,80,1.95121951219512
,,Total,35311,153235,4.3395825663391
, 2017-18,Kharif     ,24212,86002,3.55204031058979
,,Rabi       ,705,1223,1.73475177304965
,,Summer     ,122,232,1.9016393442623
,,Total,25039,87457,3.49283118335397
, 2018-19,Kharif     ,55627,142260,2.55739119492333
Total - Dry chillies,,,335203,698780,2.08464721377792
Garlic,,,,,
 1.BELLARY, 1998-99,Whole Year ,2,5,2.5
, 1999-00,Whole Year ,2,5,2.5
, 2000-01,Whole Year ,2,5,2.5
, 2002-03,Whole Year ,4,11,2.75
, 2003-04,Whole Year ,3,8,2.66666666666667
, 2004-05,Whole Year ,1,3,3
, 2016-17,Whole Year ,2,2,1
, 2018-19,Whole Year ,3,20,6.66666666666667
Total - Garlic,,,19,59,3.10526315789474
Ginger,,,,,
 1.BELLARY, 2001-02,Kharif     ,1,13,13
, 2003-04,Kharif     ,1,13,13
, 2004-05,Kharif     ,1,13,13
, 2005-06,Whole Year ,1,13,13
, 2006-07,Whole Year ,1,13,13
, 2007-08,Whole Year ,1,21,21
, 2008-09,Whole Year ,1,32,32
, 2009-10,Whole Year ,1,31,31
, 2010-11,Whole Year ,1,3.6,3.6
, 2015-16,Whole Year ,1,37,37
, 2017-18,Whole Year ,1,26,26
, 2018-19,Whole Year ,4,61.6,15.4
Total - Ginger,,,15,277.2,18.48
Gram,,,,,
 1.BELLARY, 1998-99,Rabi       ,9325,6070,0.650938337801609
, 1999-00,Rabi       ,5788,3405,0.588286109191431
, 2000-01,Rabi       ,9035,9257,1.0245711123409
, 2001-02,Rabi       ,22324,17477,0.782879412291704
, 2002-03,Rabi       ,20814,12777,0.613865667339291
, 2003-04,Rabi       ,19014,9108,0.479015462290943
, 2004-05,Rabi       ,10510,4448,0.423215984776403
, 2005-06,Rabi       ,15561,11198,0.719619561724825
, 2006-07,Kharif     ,32,4,0.125
,,Rabi       ,37539,17799,0.474146887237273
,,Total,37571,17803,0.473849511591387
, 2007-08,Rabi       ,33878,18833,0.555906487986304
, 2008-09,Rabi       ,38579,25555,0.662407008994531
, 2009-10,Kharif     ,3692,1926,0.521668472372698
,,Rabi       ,3606,894,0.247920133111481
,,Total,7298,2820,0.386407234858865
, 2010-11,Rabi       ,69458,42262,0.608454029773388
, 2011-12,Rabi       ,60244,35113,0.582846424540203
, 2012-13,Rabi       ,60890,50846,0.835046805715224
, 2013-14,Rabi       ,53823,46223,0.85879642532003
, 2014-15,Rabi       ,67266,50611,0.752400915767252
, 2015-16,Rabi       ,75356,48680,0.646000318488242
, 2016-17,Rabi       ,9473,2637,0.278370104507548
, 2017-18,Rabi       ,26864,26593,0.989912150089339
, 2018-19,Rabi       ,26030,14169,0.544333461390703
Total - Gram,,,679101,455885,0.671306624493264
Groundnut,,,,,
 1.BELLARY, 1997-98,Kharif     ,76932,38353,0.498531170384235
,,Rabi       ,20435,21666,1.06023978468314
,,Total,97367,60019,0.616420347756427
, 1998-99,Kharif     ,68396,61555,0.899979530966723
,,Rabi       ,25407,25244,0.993584445231629
,,Total,93803,86799,0.925332878479366
, 1999-00,Kharif     ,64145,60202,0.938529893210694
,,Rabi       ,16119,15711,0.974688256095291
,,Total,80264,75913,0.94579138841822
, 2000-01,Kharif     ,59678,54533,0.91378732531251
,,Rabi       ,12594,13472,1.06971573765285
,,Total,72272,68005,0.940959154305955
, 2001-02,Kharif     ,66922,57961,0.866097845252682
, 2002-03,Kharif     ,52625,30729,0.583923990498812
,,Rabi       ,6306,6453,1.023311132255
,,Total,58931,37182,0.630941270299164
, 2003-04,Kharif     ,50766,32963,0.649312532009613
,,Rabi       ,6625,5895,0.889811320754717
,,Total,57391,38858,0.677074802669408
, 2004-05,Kharif     ,65371,25628,0.392039283474323
,,Rabi       ,7593,5667,0.746345318056104
,,Total,72964,31295,0.428910147469985
, 2005-06,Kharif     ,65711,27396,0.416916497998813
,,Rabi       ,8989,5245,0.583490933362999
,,Total,74700,32641,0.436961178045515
, 2006-07,Kharif     ,58136,13118,0.225643319113802
,,Rabi       ,10293,8822,0.857087340911299
,,Total,68429,21940,0.320624296716304
, 2007-08,Kharif     ,57502,43233,0.751852109491844
,,Rabi       ,10907,9460,0.867332905473549
,,Total,68409,52693,0.770264146530427
, 2008-09,Kharif     ,62958,16648,0.264430255090695
,,Rabi       ,8967,7437,0.8293743726999
,,Total,71925,24085,0.33486270420577
, 2009-10,Kharif     ,62079,16191,0.2608128352583
,,Rabi       ,8853,7233,0.817011182649949
,,Total,70932,23424,0.330231771273896
, 2010-11,Kharif     ,63596,20851,0.32786653248632
,,Rabi       ,8667,6669,0.769470404984424
,,Total,72263,27520,0.380831130730803
, 2011-12,Kharif     ,56185,26561,0.472741835009344
,,Rabi       ,10618,8433,0.794217366735732
,,Total,66803,34994,0.523838749756748
, 2012-13,Kharif     ,49598,33595,0.67734586072019
,,Rabi       ,1322,2234,1.68986384266263
,,Summer     ,9204,6820,0.740982181660148
,,Total,60124,42649,0.709350675271106
, 2013-14,Kharif     ,45709,56364,1.23310507777462
,,Summer     ,8042,8465,1.05259885600597
,,Total,53751,64829,1.20609849119086
, 2014-15,Kharif     ,47214,46513,0.985152708942263
,,Summer     ,7591,6844,0.901593992886313
,,Total,54805,53357,0.973579053006113
, 2015-16,Kharif     ,42025,38726,0.921499107674003
,,Summer     ,7737,7857,1.01550988755332
,,Total,49762,46583,0.936115911739882
, 2016-17,Kharif     ,33385,40438,1.21126254305826
,,Summer     ,2997,2300,0.767434100767434
