District,Production(Tonnes),Mean Price(Rs./Quintal)
Bhadravathi_2012_1_January,1,1000
Chamaraj Nagar_2012_1_January,1,1000
Channarayapatna_2012_1_January,75,899
Chikkamagalore_2012_1_January,18,904
Chintamani_2012_1_January,97,912
Doddaballa Pur_2012_1_January,17,830
Gubbi_2012_1_January,66,917
Harappana Halli_2012_1_January,43,930
Hassan_2012_1_January,386,845
Holenarsipura_2012_1_January,78,991
Hosadurga_2012_1_January,163,880
Huliyar_2012_1_January,670,863
Hunsur_2012_1_January,67,879
K.R.Nagar_2012_1_January,3,800
Kadur_2012_1_January,751,883
Kolar_2012_1_January,20,1000
Kollegal_2012_1_January,20,965
Kottur_2012_1_January,1,861
Kunigal_2012_1_January,156,922
Madhugiri_2012_1_January,5,1050
Mysore (Bandipalya)_2012_1_January,79,881
Nagamangala_2012_1_January,801,951
Piriya Pattana_2012_1_January,223,869
Ramanagara_2012_1_January,2,1155
Shimoga_2012_1_January,1,1175
Sira_2012_1_January,11,1014
Tarikere_2012_1_January,53,933
Tumkur_2012_1_January,1061,1068
Arasikere_2012_8_August,375,1268
Bangalore_2012_8_August,817,1417
Belur_2012_8_August,29,933
Bhadravathi_2012_8_August,8,900
Channarayapatna_2012_8_August,21,1124
Chikkamagalore_2012_8_August,10,1208
Chintamani_2012_8_August,158,1192
Gowribidanoor_2012_8_August,30,1083
Gubbi_2012_8_August,36,1340
Harappana Halli_2012_8_August,113,1160
Hassan_2012_8_August,198,1203
Haveri_2012_8_August,2,904
Holalkere_2012_8_August,8,1000
Holenarsipura_2012_8_August,43,1050
Hosadurga_2012_8_August,121,1241
Huliyar_2012_8_August,7,1300
Hunsur_2012_8_August,12,1100
K.R. Pet_2012_8_August,10,1100
Kadur_2012_8_August,164,1281
Kanakapura_2012_8_August,3,1125
Kolar_2012_8_August,52,1200
Kunigal_2012_8_August,34,1075
Madhugiri_2012_8_August,10,1183
Mysore (Bandipalya)_2012_8_August,86,1252
Nagamangala_2012_8_August,532,1267
Piriya Pattana_2012_8_August,34,933
Ramanagara_2012_8_August,13,1188
Shimoga_2012_8_August,7,1438
Sira_2012_8_August,7,1099
Tarikere_2012_8_August,97,1125
Thirthahalli_2012_8_August,4,850
Tumkur_2012_8_August,13,1133
Arasikere_2013_1_January,300,1857
Bangalore_2013_1_January,658,2074
Belur_2013_1_January,73,2087
Bhadravathi_2013_1_January,10,1190
Chamaraj Nagar_2013_1_January,1,2000
Channarayapatna_2013_1_January,11,1900
Chickkaballapura_2013_1_January,3,1500
Chikkamagalore_2013_1_January,33,1800
Chintamani_2013_1_January,232,1400
Doddaballa Pur_2013_1_January,14,1550
Gubbi_2013_1_January,38,1892
Gundlupet_2013_1_January,6,1428
H.B. Halli_2013_1_January,7,1700
Harappana Halli_2013_1_January,74,1388
Hassan_2013_1_January,112,1653
Holenarsipura_2013_1_January,25,1680
Hosadurga_2013_1_January,39,1733
Hunsur_2013_1_January,23,1400
Kadur_2013_1_January,202,1623
Kanakapura_2013_1_January,4,2000
Kollegal_2013_1_January,7,1667
Koppa_2013_1_January,5,1900
Kunigal_2013_1_January,115,1500
Madhugiri_2013_1_January,1,1550
Moodigere_2013_1_January,6,1300
Mulabagilu_2013_1_January,12,1000
Mysore (Bandipalya)_2013_1_January,52,1913
Nagamangala_2013_1_January,438,1901
Piriya Pattana_2013_1_January,47,1383
Shimoga_2013_1_January,46,2195
Tarikere_2013_1_January,50,1412
Tumkur_2013_1_January,25,1522
Arasikere_2013_8_August,205,1702
Bangalore_2013_8_August,247,2351
Belur_2013_8_August,29,1400
Chamaraj Nagar_2013_8_August,3,1500
Channarayapatna_2013_8_August,9,1667
Chintamani_2013_8_August,49,1760
Doddaballa Pur_2013_8_August,13,1550
Gubbi_2013_8_August,16,1717
Harappana Halli_2013_8_August,162,1565
Hassan_2013_8_August,50,1920
Hosadurga_2013_8_August,69,1576
Huliyar_2013_8_August,10,1400
Hunsur_2013_8_August,30,1633
Kadur_2013_8_August,41,1590
Kollegal_2013_8_August,2,1850
Kottur_2013_8_August,1,1818
Mysore (Bandipalya)_2013_8_August,65,1758
Nagamangala_2013_8_August,557,1625
Piriya Pattana_2013_8_August,9,1500
Shimoga_2013_8_August,30,2025
Tarikere_2013_8_August,5,1617
Tumkur_2013_8_August,2,2100
Arasikere_2014_1_January,550,1426
Bangalore_2014_1_January,495,1886
Channarayapatna_2014_1_January,15,1450
Chikkamagalore_2014_1_January,9,1600
Chintamani_2014_1_January,162,1558
Davangere_2014_1_January,7,1950
Gubbi_2014_1_January,26,1457
Gundlupet_2014_1_January,7,1550
Harappana Halli_2014_1_January,19,1328
Hassan_2014_1_January,163,1482
Holenarsipura_2014_1_January,74,1451
Hosadurga_2014_1_January,16,1600
Huliyar_2014_1_January,21,1338
Hunsur_2014_1_January,56,1456
Kadur_2014_1_January,233,1555
Kanakapura_2014_1_January,26,1795
Kolar_2014_1_January,3,1500
Kollegal_2014_1_January,7,1600
Kottur_2014_1_January,1,1219
Kunigal_2014_1_January,23,1500
Mysore (Bandipalya)_2014_1_January,57,1477
Nagamangala_2014_1_January,859,1644
Piriya Pattana_2014_1_January,387,1420
Shimoga_2014_1_January,45,1650
Tarikere_2014_1_January,15,1525
Tumkur_2014_1_January,154,1560
Arasikere_2014_8_August,538,1476
Bangalore_2014_8_August,567,2211
Bangarpet_2014_8_August,15,1500
Bhadravathi_2014_8_August,26,1400
Chamaraj Nagar_2014_8_August,13,1300
Chikkamagalore_2014_8_August,2,1600
Chintamani_2014_8_August,31,1633
Doddaballa Pur_2014_8_August,6,1500
Gubbi_2014_8_August,68,1616
Gundlupet_2014_8_August,11,1916
Harappana Halli_2014_8_August,186,1448
Hassan_2014_8_August,226,1460
Holenarsipura_2014_8_August,353,1496
Hosadurga_2014_8_August,40,1307
Hoskote_2014_8_August,4,1650
Huliyar_2014_8_August,979,1413
Hunsur_2014_8_August,11,1400
Jagalur_2014_8_August,16,1300
K.R. Pet_2014_8_August,15,1450
Kadur_2014_8_August,403,1552
Kolar_2014_8_August,5,1550
Kollegal_2014_8_August,2,1400
Kunigal_2014_8_August,17,1700
Madhugiri_2014_8_August,1,1500
Mysore (Bandipalya)_2014_8_August,114,1448
Nagamangala_2014_8_August,598,1629
Piriya Pattana_2014_8_August,144,1476
Shimoga_2014_8_August,67,2050
T. Narasipura_2014_8_August,9,1500
Tarikere_2014_8_August,56,1656
Arasikere_2015_1_January,5659,1456
Bangalore_2015_1_January,5120,2090
Bhadravathi_2015_1_January,90,2000
Channarayapatna_2015_1_January,793,1425
Chikkamagalore_2015_1_January,50,1500
Chintamani_2015_1_January,981,1486
Doddaballa Pur_2015_1_January,290,1462
Gubbi_2015_1_January,1251,1416
Gundlupet_2015_1_January,46,1467
Harappana Halli_2015_1_January,140,1300
Hassan_2015_1_January,181,1488
Haveri_2015_1_January,35,1200
Holenarsipura_2015_1_January,329,1300
Hosadurga_2015_1_January,580,1133
Huliyar_2015_1_January,567,1312
Hunsur_2015_1_January,3163,1337
K.R. Pet_2015_1_January,45,1505
Kadur_2015_1_January,2357,1333
Kollegal_2015_1_January,100,1000
Kottur_2015_1_January,12,1171
Kunigal_2015_1_January,983,1530
Mysore (Bandipalya)_2015_1_January,2447,1522
Nagamangala_2015_1_January,6524,1586
Nanjangud_2015_1_January,228,1310
Piriya Pattana_2015_1_January,62,1500
Ramanagara_2015_1_January,1269,1767
Santhesargur_2015_1_January,80,1400
Shimoga_2015_1_January,1053,1950
Sira_2015_1_January,17,2000
Tarikere_2015_1_January,432,1660
Tumkur_2015_1_January,2739,1537
Arasikere_2015_8_August,265,1296
Bagepalli_2015_8_August,7,1625
Bangalore_2015_8_August,550,2023
Belur_2015_8_August,20,1282
Chamaraj Nagar_2015_8_August,5,1250
Channarayapatna_2015_8_August,41,1352
Chikkamagalore_2015_8_August,10,1200
Chintamani_2015_8_August,145,1481
Davangere_2015_8_August,226,1512
Doddaballa Pur_2015_8_August,24,1400
Gubbi_2015_8_August,48,1508
Gundlupet_2015_8_August,18,1367
Harappana Halli_2015_8_August,274,1319
Hassan_2015_8_August,155,1508
Haveri_2015_8_August,4,1250
Holenarsipura_2015_8_August,6,1262
Hosadurga_2015_8_August,36,1333
Hospet_2015_8_August,1,1800
Huliyar_2015_8_August,104,1316
Kadur_2015_8_August,37,1339
Kolar_2015_8_August,37,1801
Kunigal_2015_8_August,20,1350
Malur_2015_8_August,2,1800
Mysore (Bandipalya)_2015_8_August,158,1397
Nagamangala_2015_8_August,962,1480
Piriya Pattana_2015_8_August,8,1400
Ramanagara_2015_8_August,98,1662
Shimoga_2015_8_August,60,1950
Sira_2015_8_August,5,2000
Tarikere_2015_8_August,17,1492
Tumkur_2015_8_August,57,1500
Arasikere_2016_1_January,839,1466
Bagepalli_2016_1_January,35,1650
Bangalore_2016_1_January,370,2000
Bangarpet_2016_1_January,29,1500
Belur_2016_1_January,106,1483
Channarayapatna_2016_1_January,112,1570
Chikkamagalore_2016_1_January,10,1500
Chintamani_2016_1_January,464,1591
Davangere_2016_1_January,188,1750
Doddaballa Pur_2016_1_January,351,1450
Gowribidanoor_2016_1_January,3,1800
Gubbi_2016_1_January,125,1450
H.B. Halli_2016_1_January,1,1250
Hassan_2016_1_January,193,1525
Haveri_2016_1_January,1,1750
Holenarsipura_2016_1_January,61,1412
Hosadurga_2016_1_January,112,1417
Huliyar_2016_1_January,40,1428
Hunsur_2016_1_January,12,1525
K.R. Pet_2016_1_January,120,1846
K.R.Nagar_2016_1_January,30,1600
Kadur_2016_1_January,35,1483
Kollegal_2016_1_January,366,1635
Kottur_2016_1_January,6,1520
Kunigal_2016_1_January,58,1689
Madhugiri_2016_1_January,31,1500
Malur_2016_1_January,6,1600
Mysore (Bandipalya)_2016_1_January,243,1580
Nagamangala_2016_1_January,637,1454
Piriya Pattana_2016_1_January,5498,1620
Ramanagara_2016_1_January,79,1500
Sira_2016_1_January,6,1971
T. Narasipura_2016_1_January,10,1650
Tarikere_2016_1_January,30,1565
Tumkur_2016_1_January,232,1582
Arakalgud_2016_8_August,28,1500
Arasikere_2016_8_August,560,1520
Bagepalli_2016_8_August,35,1680
Bangalore_2016_8_August,513,2070
Belur_2016_8_August,17,1570
Chamaraj Nagar_2016_8_August,25,1300
Channarayapatna_2016_8_August,40,1536
Chikkamagalore_2016_8_August,138,1316
Chintamani_2016_8_August,564,1650
Doddaballa Pur_2016_8_August,35,1600
Gubbi_2016_8_August,85,1588
Gundlupet_2016_8_August,7,1500
Harappana Halli_2016_8_August,91,1594
Hassan_2016_8_August,306,1477
Haveri_2016_8_August,10,1235
Holenarsipura_2016_8_August,410,1581
Honnali_2016_8_August,12,1250
Hoovinahadagali_2016_8_August,10,1400
Hosadurga_2016_8_August,10,1400
Huliyar_2016_8_August,165,1339
Hunsur_2016_8_August,4,1500
K.R. Pet_2016_8_August,50,1552
K.R.Nagar_2016_8_August,46,1430
Kadur_2016_8_August,88,1612
Kolar_2016_8_August,2,2000
Kollegal_2016_8_August,8,1400
Kunigal_2016_8_August,110,1655
Madhugiri_2016_8_August,2,1900
Mysore (Bandipalya)_2016_8_August,103,1385
Nagamangala_2016_8_August,1225,1540
Nargunda_2016_8_August,1,2300
Piriya Pattana_2016_8_August,323,1582
Ramanagara_2016_8_August,216,1740
Shimoga_2016_8_August,51,1912
Sira_2016_8_August,19,1685
Sirsi_2016_8_August,1,2900
Tarikere_2016_8_August,31,1485
Tumkur_2016_8_August,231,1630
Arasikere_2017_1_January,106,2485
Bagepalli_2017_1_January,2,1800
Bangalore_2017_1_January,406,3495
Channarayapatna_2017_1_January,10,2560
Chikkamagalore_2017_1_January,65,2191
Chintamani_2017_1_January,146,2633
Davangere_2017_1_January,257,2025
Doddaballa Pur_2017_1_January,29,2625
Gubbi_2017_1_January,80,2333
Gundlupet_2017_1_January,6,1750
Harappana Halli_2017_1_January,110,2258
Hassan_2017_1_January,25,2636
Haveri_2017_1_January,16,2100
Hiriyur_2017_1_January,64,2422
Holenarsipura_2017_1_January,2818,2067
Hosadurga_2017_1_January,52,2367
Huliyar_2017_1_January,9,2400
K.R. Pet_2017_1_January,101,2760
Kolar_2017_1_January,2,2100
Kottur_2017_1_January,6,2190
Maddur_2017_1_January,7319,1650
Madhugiri_2017_1_January,47,3500
Mysore (Bandipalya)_2017_1_January,141,2587
Nagamangala_2017_1_January,66,2526
Nanjangud_2017_1_January,5,1500
Piriya Pattana_2017_1_January,56,1861
Ramanagara_2017_1_January,61,2800
Sankeshwar_2017_1_January,17,2150
Shimoga_2017_1_January,27,2733
Sira_2017_1_January,1,3000
Srirangapattana_2017_1_January,3344,1649
Tarikere_2017_1_January,52,2208
Tumkur_2017_1_January,290,2962
Arakalgud_2017_8_August,55,2640
Arasikere_2017_8_August,327,2816
Bagepalli_2017_8_August,11,2117
Bangalore_2017_8_August,493,3361
Chamaraj Nagar_2017_8_August,18,3030
Channarayapatna_2017_8_August,76,2860
Chikkamagalore_2017_8_August,40,2689
Chintamani_2017_8_August,106,2875
Davangere_2017_8_August,50,2150
Doddaballa Pur_2017_8_August,38,2758
Gubbi_2017_8_August,24,2567
Gundlupet_2017_8_August,4,2500
H.B. Halli_2017_8_August,17,2800
Harappana Halli_2017_8_August,16,3065
Hassan_2017_8_August,157,2739
Hiriyur_2017_8_August,21,2930
Holenarsipura_2017_8_August,11,2886
Honnali_2017_8_August,12,1280
Hosadurga_2017_8_August,33,2600
Hoskote_2017_8_August,24,1418
K.R. Pet_2017_8_August,235,3226
Kadur_2017_8_August,185,2741
Kanakapura_2017_8_August,10,3000
Kolar_2017_8_August,1,2600
Kunigal_2017_8_August,4,3510
Mulabagilu_2017_8_August,8,2500
Mysore (Bandipalya)_2017_8_August,79,2889
Nagamangala_2017_8_August,844,2925
Pavagada_2017_8_August,3,3200
Piriya Pattana_2017_8_August,159,2433
Ramanagara_2017_8_August,144,2720
Shimoga_2017_8_August,2,3700
Sira_2017_8_August,5,2927
Tarikere_2017_8_August,46,2756
Tumkur_2017_8_August,41,3183
Arakalgud_2018_1_January,148,1882
Arasikere_2018_1_January,525,1864
Bagepalli_2018_1_January,27,2042
Bangalore_2018_1_January,486,2933
Bangarpet_2018_1_January,185,2275
Bellary_2018_1_January,3,1479
Belur_2018_1_January,20,1700
Channarayapatna_2018_1_January,182,1825
Chickkaballapura_2018_1_January,2867,1650
Chikkamagalore_2018_1_January,91,1921
Chintamani_2018_1_January,191,2175
Davangere_2018_1_January,445,1906
Doddaballa Pur_2018_1_January,56,1980
Gubbi_2018_1_January,25,1967
Gundlupet_2018_1_January,12,2336
H.B. Halli_2018_1_January,129,1750
Harappana Halli_2018_1_January,559,1896
Hassan_2018_1_January,358,2000
Haveri_2018_1_January,9,1765
Holalkere_2018_1_January,9,1809
Holenarsipura_2018_1_January,362,2162
Hosadurga_2018_1_January,108,1950
Hoskote_2018_1_January,75,2220
Huliyar_2018_1_January,9,1833
Hunsur_2018_1_January,16,1900
K.R. Pet_2018_1_January,298,2142
K.R.Nagar_2018_1_January,1,2000
Kadur_2018_1_January,474,2081
Kolar_2018_1_January,4,2457
Kottur_2018_1_January,85,1733
Kunigal_2018_1_January,30,2458
Madhugiri_2018_1_January,4,2550
Mysore (Bandipalya)_2018_1_January,159,1950
Nagamangala_2018_1_January,1068,2079
Pavagada_2018_1_January,1,2050
Piriya Pattana_2018_1_January,536,1782
Ramanagara_2018_1_January,56,2250
Ranebennur_2018_1_January,1,2700
Santhesargur_2018_1_January,7,2285
Shimoga_2018_1_January,88,2530
Sira_2018_1_January,3,2166
Tarikere_2018_1_January,54,2235
Tumkur_2018_1_January,117,2406
Arasikere_2018_8_August,667,2058
Bagepalli_2018_8_August,5,2000
Bangalore_2018_8_August,524,2880
Bangarpet_2018_8_August,26,2100
Bellary_2018_8_August,2,2400
Belur_2018_8_August,46,2100
Channarayapatna_2018_8_August,27,2165
Chikkamagalore_2018_8_August,31,1882
Chintamani_2018_8_August,61,2000
Davangere_2018_8_August,118,1874
Doddaballa Pur_2018_8_August,70,1920
Gowribidanoor_2018_8_August,2,2700
Gubbi_2018_8_August,52,1999
Harappana Halli_2018_8_August,1939,1952
Hassan_2018_8_August,289,2070
Haveri_2018_8_August,22,1320
Holenarsipura_2018_8_August,260,2383
Hoovinahadagali_2018_8_August,1,1500
Hosadurga_2018_8_August,325,2050
Hoskote_2018_8_August,62,1425
K.R. Pet_2018_8_August,180,1850
K.R.Nagar_2018_8_August,2,1800
Kadur_2018_8_August,648,1819
Kollegal_2018_8_August,6,2500
Kottur_2018_8_August,2,1972
Kunigal_2018_8_August,69,2456
Mandya_2018_8_August,6,2125
Mysore (Bandipalya)_2018_8_August,151,2012
Nagamangala_2018_8_August,1123,2133
Piriya Pattana_2018_8_August,271,1868
Ramanagara_2018_8_August,121,2433
Shimoga_2018_8_August,30,2570
Sira_2018_8_August,1,2400
Tarikere_2018_8_August,20,2227
Tumkur_2018_8_August,23,2250
Arakalgud_2019_1_January,229,2270
Arasikere_2019_1_January,276,2267
Bangalore_2019_1_January,767,2900
Bangarpet_2019_1_January,21,2300
Bellary_2019_1_January,1,2107
Belur_2019_1_January,6,2766
Channarayapatna_2019_1_January,271,2184
Chikkamagalore_2019_1_January,28,1950
Chintamani_2019_1_January,152,2357
Davangere_2019_1_January,81,2458
Doddaballa Pur_2019_1_January,66,2625
Gubbi_2019_1_January,23,2217
H.B. Halli_2019_1_January,10,2233
Harappana Halli_2019_1_January,82,2146
Hassan_2019_1_January,457,2336
Holenarsipura_2019_1_January,156,2250
Hosadurga_2019_1_January,341,2360
Huliyar_2019_1_January,6,2000
K.R. Pet_2019_1_January,489,2062
K.R.Nagar_2019_1_January,12,2250
Kadur_2019_1_January,321,2338
Kottur_2019_1_January,8,2369
Kunigal_2019_1_January,102,2611
Malur_2019_1_January,5,2000
Mandya_2019_1_January,27,2700
Mulabagilu_2019_1_January,6,3450
Mysore (Bandipalya)_2019_1_January,76,2281
Nagamangala_2019_1_January,7153,2310
Piriya Pattana_2019_1_January,1042,2141
Ramanagara_2019_1_January,77,4425
Shimoga_2019_1_January,95,2870
Sira_2019_1_January,2,2536
Tarikere_2019_1_January,25,2820
Tumkur_2019_1_January,112,2331
Arakalgud_2019_8_August,75,2538
Arasikere_2019_8_August,700,2320
Bangalore_2019_8_August,618,3150
Bhadravathi_2019_8_August,1,1833
Channarayapatna_2019_8_August,90,2292
Chikkamagalore_2019_8_August,19,1933
Chintamani_2019_8_August,81,2417
Davangere_2019_8_August,86,2468
Doddaballa Pur_2019_8_August,60,2725
Gowribidanoor_2019_8_August,1,2500
Gubbi_2019_8_August,46,2488
Harappana Halli_2019_8_August,70,2487
Hassan_2019_8_August,153,2506
Haveri_2019_8_August,12,1750
Holalkere_2019_8_August,68,2897
Holenarsipura_2019_8_August,113,2480
Honnali_2019_8_August,15,2650
Hosadurga_2019_8_August,423,2365
Hoskote_2019_8_August,125,2897
Huliyar_2019_8_August,112,2312
K.R. Pet_2019_8_August,212,2150
Kadur_2019_8_August,248,2286
Kottur_2019_8_August,21,2506
Kunigal_2019_8_August,45,2908
Malur_2019_8_August,25,2898
Mandya_2019_8_August,25,2460
Mysore (Bandipalya)_2019_8_August,105,2529
Nagamangala_2019_8_August,1743,2329
Pavagada_2019_8_August,1,2700
Piriya Pattana_2019_8_August,73,2420
Ramanagara_2019_8_August,89,2825
Ranebennur_2019_8_August,1,2550
Shimoga_2019_8_August,109,2981
Sira_2019_8_August,4,2800
Srinivasapur_2019_8_August,1,2833
Tarikere_2019_8_August,22,2585
Tumkur_2019_8_August,57,2217
Arakalgud_2020_1_January,183,2181
Arasikere_2020_1_January,303,2146
Bangalore_2020_1_January,499,2950
Bangarpet_2020_1_January,30,3050
Bellary_2020_1_January,34,1686
Chamaraj Nagar_2020_1_January,10,2000
Channagiri_2020_1_January,14,1850
Channarayapatna_2020_1_January,569,2274
Chikkamagalore_2020_1_January,8,1800
Chintamani_2020_1_January,313,2314
Davangere_2020_1_January,399,2112
Doddaballa Pur_2020_1_January,65,2300
Gubbi_2020_1_January,22,2100
Gundlupet_2020_1_January,3,1600
Harappana Halli_2020_1_January,164,2092
Hassan_2020_1_January,277,2244
Haveri_2020_1_January,1,2000
Holenarsipura_2020_1_January,87,2094
Hosadurga_2020_1_January,728,2238
Hubli (Amaragol)_2020_1_January,40,3879
Hunsur_2020_1_January,23,3150
K.R. Pet_2020_1_January,116,2500
Kadur_2020_1_January,540,2362
Kolar_2020_1_January,5,3269
Kottur_2020_1_January,128,1895
Kunigal_2020_1_January,54,2300
Mandya_2020_1_January,151,3066
Mysore (Bandipalya)_2020_1_January,256,2277
Nagamangala_2020_1_January,1872,2294
Piriya Pattana_2020_1_January,391,2136
Ramanagara_2020_1_January,110,2575
Shimoga_2020_1_January,137,2886
Sira_2020_1_January,8,2800
Tarikere_2020_1_January,2,3200
Tumkur_2020_1_January,56,2250
Arakalgud_2020_8_August,55,2260
Arasikere_2020_8_August,667,1886
Bangalore_2020_8_August,439,3132
Bangarpet_2020_8_August,428,3000
Bellary_2020_8_August,20,1562
Belur_2020_8_August,14,2000
Channagiri_2020_8_August,24,1550
Channarayapatna_2020_8_August,44,2032
Chikkamagalore_2020_8_August,55,2000
Chintamani_2020_8_August,374,1994
Davangere_2020_8_August,184,2046
Gubbi_2020_8_August,36,2033
Gundlupet_2020_8_August,1,2500
H.B. Halli_2020_8_August,27,1725
Harappana Halli_2020_8_August,109,2395
Hassan_2020_8_August,391,2064
Haveri_2020_8_August,27,1862
Hirekerur_2020_8_August,3,2850
Holenarsipura_2020_8_August,138,1809
Honnali_2020_8_August,78,2050
K.R. Pet_2020_8_August,118,1925
Kadur_2020_8_August,167,1922
Kottur_2020_8_August,30,1963
Kunigal_2020_8_August,303,2002
Malur_2020_8_August,1,2000
Mysore (Bandipalya)_2020_8_August,172,2109
Nagamangala_2020_8_August,292,2400
Ramanagara_2020_8_August,10,3200
Shimoga_2020_8_August,24,3032
Tumkur_2020_8_August,142,2150
